City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Kimberley,ZA,86.65,clear sky,-28.7323,24.7623,Royal Paume Hotel
Namibe,AO,76.01,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
Coquimbo,CL,71.33,few clouds,-29.9533,-71.3436,Hotel Iberia
Kavieng,PG,81.59,light rain,-2.5744,150.7967,Kavieng Hotel
Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti International Resort
Cape Town,ZA,80.1,clear sky,-33.9258,18.4232,Townhouse Hotel
Rikitea,PF,76.86,scattered clouds,-23.1203,-134.9692,Chez Bianca & Benoit
Kloulklubed,PW,73.9,overcast clouds,7.0419,134.2556,The Adventures Inn
Faanui,PF,80.35,clear sky,-16.4833,-151.75,Oa Oa Lodge
Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
Ilebo,CD,82.2,broken clouds,-4.3167,20.5833,Hôtel des Palmes
Bredasdorp,ZA,71.35,clear sky,-34.5322,20.0403,Victoria Hotel
Hilo,US,75.27,clear sky,19.7297,-155.09,Dolphin Bay Hotel
Atuona,PF,77.67,broken clouds,-9.8,-139.0333,Pearl Resort
Hermanus,ZA,78.8,clear sky,-34.4187,19.2345,Aloe guest house
Kismayo,SO,79.0,overcast clouds,-0.3582,42.5454,Kismayo Hotel
Vanimo,PG,77.86,overcast clouds,-2.6741,141.3028,CBC Guesthouse
Lorengau,PG,80.87,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
Muisne,EC,73.85,moderate rain,0.6,-80.0333,Hostal Té de Menta
Namatanai,PG,79.47,overcast clouds,-3.6667,152.4333,Namatanai Hotel
Chuy,UY,73.22,clear sky,-33.6971,-53.4616,Alerces
Vaitape,PF,80.4,clear sky,-16.5167,-151.75,Oa Oa Lodge
Akyab,MM,72.27,clear sky,20.15,92.9,Yuzana Aung Motel 1
Karratha,AU,81.45,light rain,-20.7377,116.8463,Karratha International Hotel
Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
Ikongo,MG,72.34,light rain,-21.8833,47.4333,Faneva Hotel Ikongo
Mar Del Plata,AR,70.83,few clouds,-38.0023,-57.5575,Nuevo Ostende
Suba,PH,79.36,overcast clouds,10.8438,121.0102,Jade Felimar Value Inn
Castro,BR,75.33,broken clouds,-24.7911,-50.0119,Hotel Central Palace
Saldanha,ZA,77.05,clear sky,-33.0117,17.9442,Hoedjesbaai
Agadir,MA,79.25,clear sky,30.4202,-9.5982,Atlantic
Luba,GQ,87.69,broken clouds,3.4568,8.5547,Hotel Jones
Port Elizabeth,ZA,77.09,clear sky,-33.918,25.5701,Waterford Hotel
Port Blair,IN,80.64,haze,11.6667,92.75,Andaman Ocean Breeze
Asfi,MA,71.01,clear sky,32.2994,-9.2372,Golden Tulip Farah Safi
Yeppoon,AU,71.38,broken clouds,-23.1333,150.7333,Blossom's on Seaspray
Pisco,PE,71.02,scattered clouds,-13.7,-76.2167,La Portada
Posse,BR,72.25,light rain,-14.0931,-46.3694,Palmeiras Hotel
Cockburn Town,TC,79.12,broken clouds,21.4612,-71.1419,The Salt Raker Inn
Isangel,VU,75.31,few clouds,-19.55,169.2667,Tanna Lodge
Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,The Sanctuary Hotel and Spa
Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
Cidreira,BR,72.19,overcast clouds,-30.1811,-50.2056,Hotel Castelo
Pitimbu,BR,88.39,overcast clouds,-7.4706,-34.8086,Pousada Brisa Mar
Caravelas,BR,81.03,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,Tara-Mé
Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,Hotel valencia
Hithadhoo,MV,81.91,overcast clouds,-0.6,73.0833,Pebbles Inn
Eyl,SO,76.55,clear sky,7.9803,49.8164,فندق ايل دابي
Dwarka,IN,72.01,clear sky,22.2394,68.9678,The Dwarika Hotel
Maxixe,MZ,78.13,scattered clouds,-23.8597,35.3472,Hotel Herry
Necochea,AR,72.18,few clouds,-38.5473,-58.7368,Cabañas Río Quequén
Khurda,IN,71.51,scattered clouds,20.1833,85.6167,BHAGABAN VILLA
Bathsheba,BB,84.81,light rain,13.2167,-59.5167,Atlantis Hotel
Iquique,CL,75.24,clear sky,-20.2208,-70.1431,Hostal Vivar
Alta Floresta,BR,80.87,overcast clouds,-9.8756,-56.0861,Villas Hotel
Praya,CV,79.34,scattered clouds,14.9215,-23.5087,Casa Sodadi
Sao Filipe,CV,71.6,scattered clouds,14.8961,-24.4956,Bela Vista
Salalah,OM,77.09,few clouds,17.0151,54.0924,Muscat International Hotel
Santa Ines,BR,86.5,overcast clouds,-3.6667,-45.38,Hotel Carajás
Reconquista,AR,84.49,overcast clouds,-29.15,-59.65,Hotel San Martin
Saint-Pierre,RE,80.28,clear sky,-21.3393,55.4781,Tropic Hotel
Antofagasta,CL,70.88,clear sky,-23.65,-70.4,Hotel Colón
Meulaboh,ID,77.85,overcast clouds,4.1363,96.1285,Hotel Meuligou
Kisarawe,TZ,80.4,scattered clouds,-6.9,39.0667,Pugu Hill Hotel
San Juan Bautista,PE,79.34,overcast clouds,-14.0108,-75.7358,Hacienda San Juan Resort & Spa
Axim,GH,83.26,broken clouds,4.8699,-2.2405,Axim Beach Hotel
Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Fidji Motel
Saint-Georges,GD,82.08,light rain,12.0564,-61.7485,Deyna's City Inn
Rawson,AR,88.34,few clouds,-43.3002,-65.1023,Hotel Deportivo
Apac,UG,76.41,overcast clouds,1.9756,32.5386,Lions Hotel Apac
Imbituba,BR,79.86,scattered clouds,-28.24,-48.6703,Silvestre Praia Hotel
Santarem,BR,86.13,broken clouds,-2.4431,-54.7083,Prático Hotel
Pathein,MM,71.2,clear sky,16.7833,94.7333,Taan Taan Ta
Cap Malheureux,MU,79.47,clear sky,-19.9842,57.6142,Cape Garden
Springbok,ZA,76.35,clear sky,-29.6643,17.8865,Elkoweru Guesthouse
Touros,BR,86.18,few clouds,-5.1989,-35.4608,Pousada Atlântico
Cabo San Lucas,MX,70.52,clear sky,22.8909,-109.9124,Comfort Rooms
Osorno,CL,72.25,few clouds,-40.5667,-73.15,Hotel Sonesta Osorno
Bom Jesus,BR,87.01,overcast clouds,-9.0744,-44.3586,Hotel Brasão
Moerai,PF,74.93,overcast clouds,-22.4333,-151.3333,Manotel Rurutu
Paracuru,BR,82.11,broken clouds,-3.41,-39.0306,Pousada Sol e Lua
Aswan,EG,70.9,clear sky,24.0934,32.907,Yaseen hotel
Bengkulu,ID,75.88,overcast clouds,-3.8004,102.2655,Dena Hotel
Sanguem,IN,80.08,broken clouds,15.2333,74.1667,Sangam Hotel
Bafia,CM,88.88,overcast clouds,4.75,11.2333,Hôtel Born Biyem
Senanga,ZM,82.65,broken clouds,-16.1167,23.2667,Senanga Safari Lodge
Maracaibo,VE,83.14,overcast clouds,10.6317,-71.6406,Hotel Aladdin
Banyuwangi,ID,75.16,overcast clouds,-8.2325,114.3576,OYO 1579 Kate'el Inn
Padang,ID,77.05,broken clouds,-0.9492,100.3543,losmen Surya
Kahului,US,71.83,clear sky,20.8947,-156.47,Maui Seaside Hotel
