City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Kapaa,US,22.0752,-159.319,69.78,88,0,6.91,clear sky
Pahrump,US,36.2083,-115.9839,44.65,39,85,2.77,overcast clouds
Kimberley,ZA,-28.7323,24.7623,86.65,13,0,11.65,clear sky
Lichinga,MZ,-13.3128,35.2406,63.45,96,99,2.95,light rain
Gat,IL,31.61,34.7642,54.28,100,18,18.86,few clouds
Namibe,AO,-15.1961,12.1522,76.01,75,25,11.41,scattered clouds
Ushuaia,AR,-54.8,-68.3,56.82,62,75,26.46,broken clouds
Souillac,MU,-20.5167,57.5167,79.18,78,40,5.75,scattered clouds
Ilulissat,GL,69.2167,-51.1,1.42,39,15,0.0,few clouds
Punta Arenas,CL,-53.15,-70.9167,51.91,54,40,43.73,scattered clouds
Fort Nelson,CA,58.8053,-122.7002,-14.06,81,100,4.61,light snow
Sorland,NO,67.667,12.6934,40.86,75,75,23.02,broken clouds
Asyut,EG,27.181,31.1837,68.18,43,1,9.44,clear sky
Busselton,AU,-33.65,115.3333,59.27,88,2,7.63,clear sky
Coquimbo,CL,-29.9533,-71.3436,71.33,56,20,10.36,few clouds
Kavieng,PG,-2.5744,150.7967,81.59,80,100,9.28,light rain
Kirakira,SB,-10.4544,161.9205,79.86,85,97,5.61,overcast clouds
Zuwarah,LY,32.9312,12.082,66.67,57,5,5.79,clear sky
Vaini,TO,-21.2,-175.2,75.36,94,75,3.44,light rain
Thompson,CA,55.7435,-97.8558,-12.84,77,40,8.05,scattered clouds
Barrow,US,71.2906,-156.7887,-9.38,77,0,12.66,clear sky
Cape Town,ZA,-33.9258,18.4232,80.1,39,0,10.36,clear sky
Ahipara,NZ,-35.1667,173.1667,61.05,92,4,5.86,clear sky
Sayansk,RU,54.1088,102.1648,-14.69,97,19,3.15,few clouds
Rikitea,PF,-23.1203,-134.9692,76.86,77,27,11.3,scattered clouds
Ola,RU,59.5833,151.2833,9.95,77,91,8.88,overcast clouds
Mataura,NZ,-46.1927,168.8643,51.24,92,100,0.92,overcast clouds
Kodiak,US,57.79,-152.4072,38.71,87,100,10.36,light rain
Grand-Santi,GF,4.25,-54.3833,78.53,95,83,4.68,broken clouds
Kloulklubed,PW,7.0419,134.2556,73.9,75,100,9.42,overcast clouds
Nanortalik,GL,60.1432,-45.2371,27.84,72,100,11.03,overcast clouds
Selishche,RU,56.8879,33.2691,14.27,97,94,7.47,overcast clouds
Faanui,PF,-16.4833,-151.75,80.35,73,9,11.88,clear sky
Boa Vista,BR,2.8197,-60.6733,84.18,61,75,11.5,broken clouds
Takaka,NZ,-40.85,172.8,62.56,79,15,1.7,few clouds
Pelym,RU,61.0108,61.9978,10.15,90,5,6.31,clear sky
Ribeira Grande,PT,38.5167,-28.7,59.77,58,20,9.22,few clouds
New Norfolk,AU,-42.7826,147.0587,59.72,77,96,2.68,overcast clouds
Tiksi,RU,71.6872,128.8694,-8.14,84,100,13.51,overcast clouds
Machali,CL,-34.1833,-70.6667,63.68,68,75,3.44,broken clouds
Tuatapere,NZ,-46.1333,167.6833,52.02,89,99,0.76,overcast clouds
Ilebo,CD,-4.3167,20.5833,82.2,64,76,2.57,broken clouds
Mutsu,JP,41.2894,141.2169,36.27,79,57,6.8,broken clouds
Tazovskiy,RU,67.4667,78.7,-1.01,98,61,9.1,broken clouds
Sitka,US,57.0531,-135.33,48.09,61,100,16.11,light rain
Bredasdorp,ZA,-34.5322,20.0403,71.35,60,0,13.38,clear sky
Aklavik,CA,68.2191,-135.0107,-27.99,99,100,5.88,overcast clouds
Rayong,TH,12.8333,101.4333,72.84,59,69,3.94,broken clouds
Hilo,US,19.7297,-155.09,75.27,80,0,5.75,clear sky
Mandera,KE,3.9366,41.867,92.79,25,64,8.03,broken clouds
Batagay-Alyta,RU,67.8006,130.4114,-18.44,88,82,2.51,broken clouds
Torbay,CA,47.6666,-52.7314,38.88,91,75,11.5,broken clouds
Atuona,PF,-9.8,-139.0333,77.67,79,78,14.56,broken clouds
Grand Forks,US,47.9417,-97.4337,-7.67,71,100,6.91,overcast clouds
